id,bbox,sick
Train_350.jpg,"[64, 0, 64, 43]",1
Train_1339.jpg,"[128, 0, 64, 43]",1
Train_1779.jpg,"[192, 0, 64, 43]",1
Train_1368.jpg,"[256, 0, 64, 43]",0
Train_1387.jpg,"[384, 0, 64, 43]",1
Train_578.jpg,"[512, 0, 64, 43]",1
Train_1210.jpg,"[576, 0, 64, 43]",0
Train_603.jpg,"[640, 0, 64, 43]",0
Train_1230.jpg,"[704, 0, 64, 43]",0
Train_1200.jpg,"[832, 0, 64, 43]",1
Train_428.jpg,"[896, 0, 64, 43]",1
Train_1347.jpg,"[960, 0, 64, 43]",0
Train_1531.jpg,"[1024, 0, 64, 43]",1
Train_1815.jpg,"[1088, 0, 64, 43]",1
Train_890.jpg,"[1152, 0, 64, 43]",0
Train_1401.jpg,"[1216, 0, 64, 43]",1
Train_730.jpg,"[1280, 0, 64, 43]",0
Train_1193.jpg,"[1344, 0, 64, 43]",0
Train_1400.jpg,"[1408, 0, 64, 43]",1
Train_677.jpg,"[1472, 0, 64, 43]",1
Train_1752.jpg,"[1536, 0, 64, 43]",1
Train_616.jpg,"[1600, 0, 64, 43]",0
Train_1780.jpg,"[1664, 0, 64, 43]",1
Train_1010.jpg,"[1792, 0, 64, 43]",1
Train_837.jpg,"[0, 43, 64, 43]",1
Train_33.jpg,"[64, 43, 64, 43]",0
Train_95.jpg,"[128, 43, 64, 43]",1
Train_479.jpg,"[192, 43, 64, 43]",1
Train_221.jpg,"[256, 43, 64, 43]",0
Train_1154.jpg,"[320, 43, 64, 43]",1
Train_45.jpg,"[384, 43, 64, 43]",1
Train_1134.jpg,"[512, 43, 64, 43]",1
Train_220.jpg,"[640, 43, 64, 43]",0
Train_866.jpg,"[704, 43, 64, 43]",0
Train_563.jpg,"[768, 43, 64, 43]",1
Train_645.jpg,"[896, 43, 64, 43]",1
Train_508.jpg,"[960, 43, 64, 43]",1
Train_177.jpg,"[1088, 43, 64, 43]",1
Train_62.jpg,"[1152, 43, 64, 43]",1
Train_1696.jpg,"[1216, 43, 64, 43]",1
Train_821.jpg,"[1280, 43, 64, 43]",1
Train_78.jpg,"[1344, 43, 64, 43]",1
Train_1216.jpg,"[1408, 43, 64, 43]",1
Train_1036.jpg,"[1472, 43, 64, 43]",1
Train_1606.jpg,"[1536, 43, 64, 43]",1
Train_1580.jpg,"[1664, 43, 64, 43]",1
Train_968.jpg,"[1728, 43, 64, 43]",0
Train_1163.jpg,"[1792, 43, 64, 43]",1
Train_72.jpg,"[0, 86, 64, 43]",0
Train_1453.jpg,"[192, 86, 64, 43]",1
Train_36.jpg,"[256, 86, 64, 43]",1
Train_1774.jpg,"[320, 86, 64, 43]",0
Train_740.jpg,"[384, 86, 64, 43]",1
Train_1561.jpg,"[448, 86, 64, 43]",1
Train_1369.jpg,"[576, 86, 64, 43]",1
Train_1677.jpg,"[640, 86, 64, 43]",1
Train_762.jpg,"[704, 86, 64, 43]",1
Train_463.jpg,"[768, 86, 64, 43]",1
Train_1383.jpg,"[832, 86, 64, 43]",1
Train_910.jpg,"[896, 86, 64, 43]",1
Train_1801.jpg,"[1024, 86, 64, 43]",1
Train_1573.jpg,"[1088, 86, 64, 43]",1
Train_421.jpg,"[1152, 86, 64, 43]",0
Train_1201.jpg,"[1216, 86, 64, 43]",1
Train_773.jpg,"[1280, 86, 64, 43]",0
Train_1355.jpg,"[1408, 86, 64, 43]",0
Train_493.jpg,"[1472, 86, 64, 43]",1
Train_374.jpg,"[1536, 86, 64, 43]",1
Train_976.jpg,"[1664, 86, 64, 43]",1
Train_152.jpg,"[1728, 86, 64, 43]",1
Train_284.jpg,"[1792, 86, 64, 43]",1
Train_25.jpg,"[0, 129, 64, 43]",1
Train_61.jpg,"[128, 129, 64, 43]",1
Train_1229.jpg,"[192, 129, 64, 43]",1
Train_529.jpg,"[256, 129, 64, 43]",0
Train_678.jpg,"[320, 129, 64, 43]",0
Train_840.jpg,"[448, 129, 64, 43]",1
Train_1436.jpg,"[512, 129, 64, 43]",1
Train_49.jpg,"[576, 129, 64, 43]",1
Train_981.jpg,"[704, 129, 64, 43]",0
Train_681.jpg,"[768, 129, 64, 43]",1
Train_553.jpg,"[832, 129, 64, 43]",1
Train_245.jpg,"[896, 129, 28, 43]",1
Train_1819.jpg,"[960, 129, 64, 43]",1
Train_1708.jpg,"[1024, 129, 64, 43]",1
Train_856.jpg,"[1088, 129, 64, 43]",1
Train_416.jpg,"[1216, 129, 64, 43]",1
Train_559.jpg,"[1344, 129, 64, 43]",1
Train_984.jpg,"[1408, 129, 64, 43]",1
Train_1274.jpg,"[1472, 129, 64, 43]",1
Train_1303.jpg,"[1536, 129, 64, 43]",1
Train_1087.jpg,"[1728, 129, 64, 43]",1
Train_1715.jpg,"[0, 172, 64, 43]",1
Train_1319.jpg,"[64, 172, 64, 43]",1
Train_1236.jpg,"[128, 172, 64, 43]",1
Train_1617.jpg,"[192, 172, 64, 43]",0
Train_104.jpg,"[256, 172, 64, 43]",1
Train_619.jpg,"[320, 172, 64, 43]",0
Train_488.jpg,"[384, 172, 64, 43]",0
Train_175.jpg,"[448, 172, 64, 43]",0
Train_391.jpg,"[576, 172, 64, 43]",1
Train_1634.jpg,"[640, 172, 64, 43]",0
Train_1570.jpg,"[832, 172, 64, 43]",1
Train_1032.jpg,"[896, 172, 64, 43]",1
Train_861.jpg,"[960, 172, 64, 43]",1
Train_1595.jpg,"[1024, 172, 64, 43]",1
Train_1101.jpg,"[1088, 172, 64, 43]",0
Train_1577.jpg,"[1152, 172, 64, 43]",1
Train_338.jpg,"[1216, 172, 64, 43]",1
Train_231.jpg,"[1280, 172, 64, 43]",1
Train_1024.jpg,"[1408, 172, 64, 43]",1
Train_1263.jpg,"[1472, 172, 64, 43]",1
Train_263.jpg,"[1664, 172, 64, 43]",0
Train_1624.jpg,"[1728, 172, 64, 43]",1
Train_1629.jpg,"[0, 215, 64, 43]",1
Train_237.jpg,"[128, 215, 64, 43]",1
Train_909.jpg,"[192, 215, 64, 43]",0
Train_1324.jpg,"[256, 215, 64, 43]",1
Train_1050.jpg,"[320, 215, 64, 43]",1
Train_1382.jpg,"[384, 215, 64, 43]",1
Train_886.jpg,"[448, 215, 64, 43]",1
Train_1751.jpg,"[576, 215, 64, 43]",1
Train_602.jpg,"[640, 215, 64, 43]",1
Train_748.jpg,"[704, 215, 64, 43]",1
Train_581.jpg,"[768, 215, 64, 43]",1
Train_1538.jpg,"[832, 215, 64, 43]",0
Train_618.jpg,"[896, 215, 64, 43]",0
Train_1794.jpg,"[1024, 215, 64, 43]",0
Train_647.jpg,"[1152, 215, 64, 43]",1
Train_1127.jpg,"[1216, 215, 64, 43]",1
Train_1513.jpg,"[1344, 215, 64, 43]",0
Train_316.jpg,"[1408, 215, 64, 43]",1
Train_1280.jpg,"[1536, 215, 64, 43]",1
Train_163.jpg,"[1728, 215, 64, 43]",1
Train_1641.jpg,"[1792, 215, 64, 43]",1
Train_1536.jpg,"[64, 258, 64, 43]",1
Train_857.jpg,"[128, 258, 64, 43]",1
Train_1316.jpg,"[192, 258, 64, 43]",1
Train_1275.jpg,"[256, 258, 64, 43]",1
Train_1747.jpg,"[320, 258, 64, 43]",1
Train_1035.jpg,"[384, 258, 64, 43]",1
Train_682.jpg,"[448, 258, 64, 43]",1
Train_813.jpg,"[512, 258, 64, 43]",1
Train_966.jpg,"[576, 258, 64, 43]",0
Train_850.jpg,"[704, 258, 64, 43]",0
Train_202.jpg,"[768, 258, 64, 43]",1
Train_1390.jpg,"[832, 258, 64, 43]",1
Train_375.jpg,"[896, 258, 64, 43]",0
Train_1426.jpg,"[960, 258, 64, 43]",0
Train_74.jpg,"[1088, 258, 64, 43]",1
Train_1461.jpg,"[1152, 258, 64, 43]",1
Train_125.jpg,"[1216, 258, 64, 43]",1
Train_1814.jpg,"[1344, 258, 64, 43]",0
Train_956.jpg,"[1408, 258, 64, 43]",0
Train_149.jpg,"[1472, 258, 64, 43]",1
Train_165.jpg,"[1536, 258, 64, 43]",1
Train_949.jpg,"[1664, 258, 64, 43]",1
Train_702.jpg,"[1728, 258, 64, 43]",1
Train_480.jpg,"[1792, 258, 64, 43]",1
Train_306.jpg,"[0, 301, 64, 43]",1
Train_546.jpg,"[192, 301, 64, 43]",0
Train_536.jpg,"[256, 301, 64, 43]",1
Train_271.jpg,"[320, 301, 64, 43]",0
Train_659.jpg,"[384, 301, 64, 43]",1
Train_1468.jpg,"[448, 301, 64, 43]",1
Train_1349.jpg,"[512, 301, 64, 43]",0
Train_1358.jpg,"[576, 301, 64, 43]",1
Train_1420.jpg,"[640, 301, 64, 43]",0
Train_543.jpg,"[704, 301, 64, 43]",1
Train_1389.jpg,"[768, 301, 64, 43]",0
Train_1380.jpg,"[832, 301, 64, 43]",0
Train_1119.jpg,"[896, 301, 64, 43]",1
Train_1194.jpg,"[960, 301, 64, 43]",1
Train_885.jpg,"[1024, 301, 64, 43]",0
Train_402.jpg,"[1088, 301, 64, 43]",1
Train_367.jpg,"[1152, 301, 64, 43]",0
Train_1757.jpg,"[1216, 301, 64, 43]",1
Train_1161.jpg,"[1280, 301, 64, 43]",1
Train_990.jpg,"[1344, 301, 64, 43]",1
Train_1046.jpg,"[1408, 301, 64, 43]",1
Train_1789.jpg,"[1472, 301, 64, 43]",0
Train_1663.jpg,"[1536, 301, 64, 43]",0
Train_1473.jpg,"[1600, 301, 64, 43]",1
Train_418.jpg,"[1664, 301, 64, 43]",1
Train_1100.jpg,"[1728, 301, 64, 43]",1
Train_484.jpg,"[1792, 301, 64, 43]",1
Train_1289.jpg,"[0, 344, 64, 43]",0
Train_1433.jpg,"[64, 344, 64, 43]",1
Train_399.jpg,"[128, 344, 64, 43]",1
Train_977.jpg,"[192, 344, 64, 43]",0
Train_1070.jpg,"[256, 344, 64, 43]",1
Train_693.jpg,"[320, 344, 64, 43]",1
Train_1456.jpg,"[384, 344, 64, 43]",1
Train_1653.jpg,"[448, 344, 64, 43]",0
Train_696.jpg,"[512, 344, 64, 43]",1
Train_1524.jpg,"[640, 344, 64, 43]",1
Train_1272.jpg,"[768, 344, 64, 43]",1
Train_1526.jpg,"[832, 344, 64, 43]",1
Train_754.jpg,"[896, 344, 64, 43]",1
Train_1020.jpg,"[960, 344, 64, 43]",0
Train_830.jpg,"[1024, 344, 64, 43]",1
Train_278.jpg,"[1088, 344, 64, 43]",0
Train_675.jpg,"[1152, 344, 64, 43]",0
Train_504.jpg,"[1216, 344, 64, 43]",1
Train_28.jpg,"[1344, 344, 64, 43]",1
Train_230.jpg,"[1408, 344, 64, 43]",1
Train_295.jpg,"[1472, 344, 64, 43]",0
Train_550.jpg,"[1600, 344, 64, 43]",0
Train_746.jpg,"[1664, 344, 64, 43]",0
Train_1601.jpg,"[1728, 344, 64, 43]",0
Train_1775.jpg,"[0, 387, 64, 43]",1
Train_1350.jpg,"[64, 387, 64, 43]",1
Train_732.jpg,"[128, 387, 64, 43]",1
Train_720.jpg,"[192, 387, 64, 43]",0
Train_1222.jpg,"[320, 387, 64, 43]",1
Train_794.jpg,"[384, 387, 64, 43]",0
Train_174.jpg,"[448, 387, 64, 43]",0
Train_962.jpg,"[576, 387, 64, 43]",1
Train_1648.jpg,"[640, 387, 64, 43]",1
Train_1018.jpg,"[704, 387, 64, 43]",1
Train_1393.jpg,"[768, 387, 64, 43]",1
Train_749.jpg,"[832, 387, 64, 43]",1
Train_1343.jpg,"[896, 387, 64, 43]",1
Train_688.jpg,"[1024, 387, 64, 43]",1
Train_1000.jpg,"[1088, 387, 64, 43]",1
Train_1429.jpg,"[1152, 387, 64, 43]",1
Train_1556.jpg,"[1216, 387, 64, 43]",0
Train_1618.jpg,"[1280, 387, 64, 43]",1
Train_906.jpg,"[1344, 387, 64, 43]",1
Train_262.jpg,"[1472, 387, 64, 43]",1
Train_804.jpg,"[1536, 387, 64, 43]",1
Train_1646.jpg,"[1600, 387, 64, 43]",0
Train_134.jpg,"[1664, 387, 64, 43]",0
Train_1691.jpg,"[1728, 387, 64, 43]",0
Train_1600.jpg,"[64, 430, 64, 43]",0
Train_978.jpg,"[128, 430, 64, 43]",1
Train_1593.jpg,"[192, 430, 64, 43]",0
Train_128.jpg,"[320, 430, 64, 43]",1
